symbol,spam,ham,spam_perc
gb2312q_b4f2d4ecmba,1,0,1.0
zzzzteana,0,5,0.0
army,0,1,0.0
tests,0,1,0.0
portable,0,1,0.0
translator,0,1,0.0
think32482,1,0,1.0
royalmedscom,1,0,1.0
offerid,2,0,1.0
qpag,1,0,1.0
others,1,0,1.0
obsolete,1,0,1.0
aa,0,1,0.0
meetings,0,1,0.0
big,2,2,0.5
bucks,0,1,0.0
giving,1,0,1.0
away,3,1,0.75
should,1,1,0.5
build,0,1,0.0
win32,0,1,0.0
codecs,0,1,0.0
live,1,0,1.0
longer,1,0,1.0
windsor,0,1,0.0
soup,0,1,0.0
rsa,0,1,0.0
repost,0,1,0.0
economist,0,1,0.0
models,0,1,0.0
viral,1,1,0.5
spread,0,1,0.0
social,0,1,0.0
diseases,0,1,0.0
vip,2,0,1.0
pass,2,0,1.0
life24607,1,0,1.0
slashing,1,0,1.0
zzzzall,2,0,1.0
breast,2,0,1.0
enhancement,2,0,1.0
must,3,0,1.0
gadget,1,0,1.0
lovers,1,0,1.0
seeking,1,0,1.0
toner,2,0,1.0
super,4,0,1.0
cool,1,0,1.0
monitor,1,0,1.0
deals,1,0,1.0
lsb36,1,0,1.0
privacy,2,0,1.0
paid,1,0,1.0
weekend,2,0,1.0
enter,3,0,1.0
chinese,3,0,1.0
proposal,2,0,1.0
telemarketers,1,0,1.0
uio,1,0,1.0
petcarerxcom,1,0,1.0
irelands,1,1,0.5
hub,0,1,0.0
moved,0,1,0.0
further,0,1,0.0
sidekick,0,1,0.0
blogging,0,1,0.0
pal,0,1,0.0
setting,1,1,0.5
eating,0,1,0.0
address,1,1,0.5
dreamed,1,0,1.0
eiexvv,1,0,1.0
protected,2,0,1.0
quote,11,0,1.0
oefik,2,0,1.0
fuller,2,0,1.0
breasts,2,0,1.0
naturally,2,0,1.0
uqouq,1,0,1.0
brother,0,1,0.0
spare,0,1,0.0
jet,0,1,0.0
edahx,1,0,1.0
tell,3,0,1.0
cam,2,0,1.0
sluts,3,0,1.0
won,2,0,1.0
round,1,0,1.0
claim,2,0,1.0
oil,0,1,0.0
set,1,1,0.5
pumped,0,1,0.0
blazing,0,1,0.0
ship,0,1,0.0
juiceman,1,0,1.0
ii,1,0,1.0
repair,3,0,1.0
teensex,1,0,1.0
foml,1,0,1.0
lookout,1,0,1.0
partners,1,0,1.0
such,1,0,1.0
neu,2,0,1.0
im,3,1,0.75
handel,2,0,1.0
k1ausgabe,2,0,1.0
nr66,2,0,1.0
ruin,2,0,1.0
wowwhat,1,0,1.0
child,1,0,1.0
support,4,1,0.8
forged,0,2,0.0
whitelist,0,2,0.0
encryption,0,2,0.0
secure,0,6,0.0
fuxst,1,0,1.0
kin,1,0,1.0
saving,1,0,1.0
version,2,0,1.0
uncover,2,0,1.0
truth,2,0,1.0
undeliverable,1,0,1.0
jptj,1,0,1.0
kytauzirzptf,1,0,1.0
distance,2,0,1.0
cents,2,0,1.0
monthly,3,0,1.0
confidence,2,0,1.0
rom,1,0,1.0
books,1,0,1.0
blix,0,1,0.0
told,0,1,0.0
await,0,1,0.0
orders,0,1,0.0
nows,1,0,1.0
qualified,1,0,1.0
potential,1,0,1.0
clients,1,0,1.0
event,0,1,0.0
notification,1,1,0.5
uunet,0,1,0.0
north,0,1,0.0
american,3,1,0.75
reg,0,1,0.0
friday,0,1,0.0
introductions,0,2,0.0
bhgb,1,0,1.0
something,1,0,1.0
laptops,0,1,0.0
openshut,0,1,0.0
medieval,0,1,0.0
powers,0,1,0.0
strength,0,1,0.0
printers,1,0,1.0
copiers,1,0,1.0
faxes,1,0,1.0
cancelling,0,1,0.0
earthlink,0,1,0.0
anolther,0,1,0.0
sequence,0,1,0.0
related,0,1,0.0
traceback,0,1,0.0
commissions,4,0,1.0
booking,1,0,1.0
sandy,1,0,1.0
doing,2,0,1.0
dorm,1,0,1.0
unleash,1,0,1.0
pcs,1,0,1.0
multimedia,1,0,1.0
retail,1,0,1.0
11th,1,0,1.0
convergence,1,0,1.0
india,1,0,1.0
exhibition,1,0,1.0
conference,2,0,1.0
trust,1,0,1.0
cant,0,3,0.0
undefined,0,1,0.0
value,1,1,0.5
retire,1,0,1.0
hasslefree,1,0,1.0
microsoft,1,1,0.5
sql,1,0,1.0
server,1,0,1.0
remote,1,2,0.3333333333333333
database,3,0,1.0
administration,1,0,1.0
maillist,4,0,1.0
direct,3,0,1.0
blaster,3,0,1.0
extractor,3,0,1.0
manager,2,0,1.0
verify,3,0,1.0
jeremy,0,1,0.0
zawodny,0,1,0.0
silicon,0,1,0.0
valley,0,1,0.0
came,0,1,0.0
aptconf,0,1,0.0
suggestion,0,1,0.0
locations,1,0,1.0
freeorlandolas,1,0,1.0
vegasft,1,0,1.0
laud,1,0,1.0
advertise,1,0,1.0
freightmart,1,0,1.0
player,0,1,0.0
ui,0,1,0.0
toddlers,0,1,0.0
prints,1,0,1.0
beautiful,1,1,0.5
oydqh,1,0,1.0
index,1,0,1.0
bill,3,0,1.0
gates,2,0,1.0
doesnt,2,0,1.0
road,3,0,1.0
cna,2,0,1.0
building,0,3,0.0
lame392fr5srcrpm,0,2,0.0
75%,1,0,1.0
reduction,1,0,1.0
accidents,1,0,1.0
dooce,0,1,0.0
5026hbtl0754g@13,1,0,1.0
safe,3,0,1.0
effective,2,0,1.0
release,3,2,0.6
growth,2,0,1.0
hormone30543,2,0,1.0
personalize,0,1,0.0
palm,0,1,0.0
os,0,2,0.0
device,0,2,0.0
another,1,0,1.0
until,2,0,1.0
thisdgsrw,1,0,1.0
major,1,0,1.0
powerball,1,0,1.0
results,1,0,1.0
saturday,1,0,1.0
september,1,0,1.0
estimated,1,0,1.0
jackpot,1,0,1.0
million,4,0,1.0
securing,0,1,0.0
multiple,0,1,0.0
virtual,0,1,0.0
hosts,0,2,0.0
double,4,0,1.0
extra,4,0,1.0
tctoom,2,0,1.0
youve,2,0,1.0
confirmation,1,0,1.0
rftmbswfn,1,0,1.0
satellite,3,0,1.0
5283axpg9556bgri3709d21,1,0,1.0
percent,1,0,1.0
instantly,1,0,1.0
smut,1,0,1.0
passes,1,0,1.0
goats,0,1,0.0
enormous,0,1,0.0
testicles,0,1,0.0
lifesized,0,1,0.0
cow,0,1,0.0
sculpted,0,1,0.0
cock,1,0,1.0
pussy,1,0,1.0
excerpt;,1,0,1.0
baby,1,0,1.0
makers,1,0,1.0
loser,1,0,1.0
choosers,1,0,1.0
welfare,1,0,1.0
abusersimages,1,0,1.0
hand,1,0,1.0
selected,1,0,1.0
helpful,1,0,1.0
septic,1,0,1.0
tank,1,0,1.0
gb,1,0,1.0
full,1,0,1.0
length,1,0,1.0
movies,3,0,1.0
qiih,1,0,1.0
r,1,0,1.0
bindings,0,1,0.0
current,0,2,0.0
~~,1,0,1.0
95%,1,0,1.0
wholesale,3,0,1.0
motorola,0,1,0.0
very,0,1,0.0
slow,0,1,0.0
hangs,0,1,0.0
prospectsby,1,0,1.0
simpastry,0,1,0.0
feel,2,0,1.0
younger18861,1,0,1.0
generating,2,0,1.0
friendsearch,1,0,1.0
zzzzasonorg,1,0,1.0
obtaining,1,0,1.0
fully,1,0,1.0
recognized,1,0,1.0
degree,1,0,1.0
friends,0,1,0.0
palestinians,0,1,0.0
servants,0,1,0.0
ltci,1,0,1.0
comparison,1,0,1.0
`mortgage,1,0,1.0
`,1,0,1.0
xxx,1,0,1.0
passwords,2,0,1.0
fill,1,0,1.0
qeeb,1,0,1.0
razor,0,2,0.0
vs,0,1,0.0
cloudmark,0,1,0.0
merging,0,2,0.0
amyns,1,0,1.0
false,0,2,0.0
positive,0,1,0.0
davehi,1,0,1.0
joi,1,0,1.0
think,0,1,0.0
leap,0,1,0.0
flies,0,1,0.0
powered,0,1,0.0
parachute,0,1,0.0
into,1,1,0.5
stash,1,0,1.0
judicial,2,0,1.0
judgmentschild,1,0,1.0
lm,1,0,1.0
bugs,0,1,0.0
still,1,2,0.3333333333333333
traders,1,0,1.0
dqb,1,0,1.0
curse,0,2,0.0
indias,0,2,0.0
socialism,0,2,0.0
setup,1,0,1.0
ncify,1,0,1.0
po,1,0,1.0
hywwzzlzd,2,0,1.0
575%,1,0,1.0
available11284,1,0,1.0
saying,0,1,0.0
theater,1,0,1.0
affiliate,1,0,1.0
offers,2,0,1.0
amazoncom,1,0,1.0
gg,1,0,1.0
worst,1,0,1.0
zwzm,1,0,1.0
wzwjt,1,0,1.0
liberation,0,1,0.0
les,0,1,0.0
jouebs,0,1,0.0
stars,0,1,0.0
editoriales,0,1,0.0
du,0,1,0.0
foreign,1,0,1.0
currency,1,0,1.0
newsletter,3,0,1.0
ntk,0,1,0.0
interviews,1,0,1.0
too,5,0,1.0
customized,1,0,1.0
kmartr,1,0,1.0
gift,1,0,1.0
oh,1,0,1.0
died,1,0,1.0
definitely,2,0,1.0
answer,3,0,1.0
ibooks,0,1,0.0
powerbooks,0,1,0.0
captain,0,1,0.0
turned,0,1,0.0
hittin,0,1,0.0
sign,0,1,0.0
channels,1,0,1.0
west,0,1,0.0
nile,0,1,0.0
vaccine,0,1,0.0
30k,1,0,1.0
refid,1,0,1.0
catalog,1,0,1.0
articles,1,0,1.0
toys,1,0,1.0
2009vjtt6179dml15,1,0,1.0
alsaplayer,0,1,0.0
visited,1,0,1.0
wwwtaintorg,1,0,1.0
noticed,1,0,1.0
riaas,0,1,0.0
hillary,0,1,0.0
rosen,0,1,0.0
execs,0,1,0.0
lgjdg,1,0,1.0
dma,0,1,0.0
waste,1,0,1.0
relationship,1,0,1.0
highly,1,0,1.0
targeted,1,0,1.0
list,1,1,0.5
file,1,3,0.25
snub,0,1,0.0
minister,0,1,0.0
election,0,1,0.0
row,0,1,0.0
ez,1,0,1.0
mind,1,0,1.0
rights,0,1,0.0
thousands,1,0,1.0
kplxl,1,0,1.0
law,1,0,1.0
firm,1,0,1.0
moneyzdvijo,1,0,1.0
suse,0,3,0.0
disks,0,2,0.0
thread,0,2,0.0
changed,0,2,0.0
slightly,0,2,0.0
wacky,0,1,0.0
imam,0,1,0.0
reducing,0,1,0.0
impact,0,1,0.0
tons,0,1,0.0
library,1,0,1.0
4863d5,1,0,1.0
ghoe,1,0,1.0
package,1,1,0.5
valuable,1,0,1.0
savings,1,0,1.0
sps,2,0,1.0
se,2,0,1.0
odrekao,2,0,1.0
slobodana,2,0,1.0
milosevica,2,0,1.0
gamers,0,1,0.0
screwed,0,1,0.0
california,0,1,0.0
economy,1,1,0.5
vintage,0,1,0.0
music,0,1,0.0
archive,0,1,0.0
programmed,1,0,1.0
eliminate,2,0,1.0
debt~no,1,0,1.0
bankrputcy,1,0,1.0
dream,1,0,1.0
vacation,2,0,1.0
millionaire,2,0,1.0
reveals,2,0,1.0
secret,4,0,1.0
wealth,3,0,1.0
bible,1,0,1.0
cdrom,1,0,1.0
dawn,0,1,0.0
raids,0,1,0.0
stoke,0,1,0.0
fires,0,1,0.0
resentment,0,1,0.0
5k,1,0,1.0
contenttype,0,1,0.0
messagerfc822,0,1,0.0
supported,0,1,0.0
zib,1,0,1.0
ultimate,1,0,1.0
younger15373,1,0,1.0
sale_limited,1,0,1.0
quantities_only,1,0,1.0
tj,1,0,1.0
tabletpc,0,1,0.0
succeed,0,1,0.0
update,1,1,0.5
zibdrzpay,1,0,1.0
heavily,0,1,0.0
medicated,0,1,0.0
short,2,0,1.0
recommendation,2,0,1.0
biliyoruz,2,0,1.0
reklama,2,0,1.0
ihtiyaciniz,2,0,1.0
var,2,0,1.0
bunun,2,0,1.0
icin,2,0,1.0
buradayiz,2,0,1.0
affordable,1,0,1.0
ddbfk,1,0,1.0
nice,2,0,1.0
foto,1,0,1.0
planet,0,1,0.0
kill,0,1,0.0
liberal,0,1,0.0
defnitions,0,1,0.0
question,1,2,0.3333333333333333
patrick,1,0,1.0
ireland,1,0,1.0
wall,1,0,1.0
streets,1,0,1.0
dirty,1,0,1.0
games,1,1,0.5
graphics,0,1,0.0
shopper,0,1,0.0
equity,1,0,1.0
indexed,1,0,1.0
ul,2,0,1.0
losing,1,0,1.0
amaze,1,0,1.0
pennies,1,0,1.0
cmgpk,1,0,1.0
coachinvest,1,0,1.0
septembre,1,0,1.0
ccaxc,2,0,1.0
lie`s,1,0,1.0
misinformation,1,0,1.0
fraud,1,0,1.0
trading,2,0,1.0
youll,1,0,1.0
poor,1,0,1.0
xk,1,0,1.0
installed,1,0,1.0
rooms,1,0,1.0
sexy,1,0,1.0
dvds,2,0,1.0
christmas,1,0,1.0
nmv,1,0,1.0
fullcolor,1,0,1.0
serial,0,1,0.0
vpn,0,1,0.0
implementation,0,1,0.0
himindoptin,1,0,1.0
referencement,1,0,1.0
lazytraders;,1,0,1.0
ldt,1,0,1.0
342%,1,0,1.0
chatroom,1,0,1.0
ai,1,0,1.0
stockpicks,1,0,1.0
348%,1,0,1.0
payment,2,0,1.0
8798qqls4526vcg15,1,0,1.0
purchase,1,1,0.5
necessary,1,0,1.0
bju,1,0,1.0
offerclub,1,0,1.0
mood,1,0,1.0
xghtmtggc,1,0,1.0
workbut,1,0,1.0
ton,1,0,1.0
vhcw,1,0,1.0
rated,1,0,1.0
requires,0,1,0.0
relational,0,1,0.0
operators,0,1,0.0
tits,1,0,1.0
paperless,1,0,1.0
publishing,2,0,1.0
ilugbigger,1,0,1.0
slaughter,0,2,0.0
god,0,2,0.0
possible,1,0,1.0
cptj,2,0,1.0
ebook,1,0,1.0
download,1,0,1.0
contain,1,0,1.0
mofjn,1,0,1.0
judgementschild,1,0,1.0
bgs,1,0,1.0
minimum,0,1,0.0
buycom,0,1,0.0
x,0,1,0.0
keynote,0,2,0.0
lower,1,0,1.0
4000month,1,0,1.0
pc,1,0,1.0
quake,0,1,0.0
classifieds,1,0,1.0
dare,2,0,1.0
world,1,0,1.0
cup,1,0,1.0
result,1,0,1.0
automated,1,0,1.0
mall,1,0,1.0
winners,1,1,0.5
galleries,0,1,0.0
sfw,0,1,0.0
sitescooper,2,0,1.0
onto,1,0,1.0
palmpilot,1,0,1.0
5%,1,0,1.0
eight,1,0,1.0
paper,1,0,1.0
greeting,1,0,1.0
passthrough,1,0,1.0
publications,1,0,1.0
guidance,0,1,0.0
pickles,0,1,0.0
versus,0,1,0.0
db,0,1,0.0
outlook,0,1,0.0
djf,1,0,1.0
youthful,2,0,1.0
naming,0,1,0.0
theories,0,1,0.0
happened,1,0,1.0
pageytu855,1,0,1.0
rkq,1,0,1.0
yuf,1,0,1.0
forget,1,0,1.0
blast,1,0,1.0
ad,1,0,1.0
leads,5,0,1.0
growing,2,0,1.0
fre,1,0,1.0
legally,1,0,1.0
buying,1,0,1.0
wanna,1,0,1.0
fisted,1,0,1.0
bust,0,1,0.0
college,1,0,1.0
coeds,1,0,1.0
worlds,1,0,1.0
biggest,1,0,1.0
cocks,1,0,1.0
zebpj,1,0,1.0
tax,1,0,1.0
caught,2,0,1.0
rising,1,0,1.0
borrow,1,0,1.0
purpose,1,0,1.0
gy,1,0,1.0
names,1,0,1.0
njou7,1,0,1.0
giveaway,1,0,1.0
seibel,0,1,0.0
earnings,0,1,0.0
aol,0,1,0.0
questions,0,1,0.0
goals,1,0,1.0
funny,1,0,1.0
hall,0,1,0.0
size,1,0,1.0
rite,1,0,1.0
photos,1,0,1.0
chat,1,0,1.0
cams,1,0,1.0
xmxp,1,0,1.0
undoc,1,0,1.0
capable,1,0,1.0
assistancetel225,1,0,1.0
^^^^^cell,1,0,1.0
belt,1,0,1.0
clips,1,0,1.0
195^^^^^^,1,0,1.0
asian,1,0,1.0
lesbo,1,0,1.0
canadians,0,1,0.0
finance,0,1,0.0
beta,0,1,0.0
casino,1,0,1.0
payouts,1,0,1.0
fun,4,0,1.0
assistanceconfidential,1,0,1.0
webs,1,0,1.0
fastest,1,0,1.0
singles,1,0,1.0
plight,0,1,0.0
qadir,0,1,0.0
fedayee,0,1,0.0
ihsxq,1,0,1.0
degrees,1,0,1.0
experiences,1,0,1.0
trained,0,1,0.0
classifier,0,1,0.0
press,1,0,1.0
legal,2,0,1.0
optin,1,0,1.0
thank,1,0,1.0
much,1,0,1.0
void,0,1,0.0
personals,0,1,0.0
tip,0,1,0.0
623b,1,0,1.0
part,1,0,1.0
install,0,1,0.0
stickiest,1,0,1.0
faces,1,0,1.0
rejects,0,1,0.0
inspections,0,1,0.0
deal,0,1,0.0
pru,1,0,1.0
lifes,1,0,1.0
portfolio,1,0,1.0
rocks,1,0,1.0
using,0,1,0.0
normal,0,1,0.0
ide,0,1,0.0
latitude,0,1,0.0
cpx,0,1,0.0
laptop,1,2,0.3333333333333333
mothers,1,0,1.0
fuck,1,0,1.0
unique,1,0,1.0
dual,1,0,1.0
nothing,1,0,1.0
loose,1,0,1.0
anlt,1,0,1.0
gainget,1,0,1.0
multibillion,1,0,1.0
stores,1,0,1.0
missed,1,0,1.0
date,1,0,1.0
mil,1,0,1.0
numbers,1,0,1.0
avfs,2,0,1.0
dc,1,0,1.0
costeffective,1,0,1.0
mlmbizop,1,0,1.0
phonescreened,1,0,1.0
uk,0,1,0.0
richbstrds,0,1,0.0
alert,1,1,0.5
feeling,2,0,1.0
exposed,1,0,1.0
share,1,0,1.0
gn,1,0,1.0
warren,1,0,1.0
buffett,1,0,1.0
ya,1,0,1.0
mutually,1,0,1.0
benefitting,1,0,1.0
endeavour,1,0,1.0
garden,1,0,1.0
ornaments,1,0,1.0
ppu,1,0,1.0
international,1,0,1.0
calls,1,0,1.0
subscription,1,0,1.0
profitsprepaid,1,0,1.0
advancesecret,1,0,1.0
tool,2,0,1.0
forkhgh,1,0,1.0
liquid,1,0,1.0
weightgain,1,0,1.0
muscleaffordable,1,0,1.0
youth,1,0,1.0
tad,0,1,0.0
furry,0,1,0.0
blogged,0,1,0.0
item,0,1,0.0
webforms,0,1,0.0
cluetrain,0,1,0.0
left,0,1,0.0
station,0,1,0.0
yyyyhelp,1,0,1.0
moooozilla,0,1,0.0
michael,1,0,1.0
asked,1,0,1.0
packages,0,1,0.0
few62dodabghzd5ow,1,0,1.0
comment,0,1,0.0
lowperforming,0,1,0.0
pruned,0,1,0.0
farea,1,0,1.0
i386redhatlinux,0,1,0.0
appended,0,1,0.0
page,1,1,0.5
euro,1,0,1.0
reverse,1,0,1.0
aging,1,0,1.0
while,2,0,1.0
burning,1,0,1.0
faeries,1,0,1.0
ack,0,2,0.0
aptget,0,2,0.0
failing,0,2,0.0
stumped,0,2,0.0
9%,2,0,1.0
myg,2,0,1.0
annuities,2,0,1.0
tomorrows,1,0,1.0
diploma,1,0,1.0
travel,1,0,1.0
todays,1,0,1.0
backup,0,1,0.0
solutions,0,1,0.0
andrea_justice,1,0,1.0
action,1,1,0.5
hell,0,1,0.0
distro,0,1,0.0
cum,1,0,1.0
shots,1,0,1.0
zzzz@examplecom,2,0,1.0
qxjx,1,0,1.0
225lbs,1,0,1.0
critical,1,0,1.0
illness,1,0,1.0
kernel,0,1,0.0
distupgrade,0,1,0.0
publish,1,0,1.0
single,1,0,1.0
ztpxx,1,0,1.0
brain,0,1,0.0
hurts,0,1,0.0
signers,0,1,0.0
werent,0,1,0.0
angry,0,1,0.0
young,1,1,0.5
sy,1,0,1.0
herb,1,0,1.0
da,0,1,0.0
feds,0,1,0.0
yyyydo,1,0,1.0
differences,1,0,1.0
thunder,0,1,0.0
stealing,0,1,0.0
busy,2,0,1.0
earning,2,0,1.0
living,3,0,1.0
registration,1,0,1.0
red,0,2,0.0
hat,0,2,0.0
pic,1,0,1.0
templates,1,0,1.0
veuve,1,0,1.0
clicquot,1,0,1.0
sponsorrating,1,0,1.0
xtreme,1,0,1.0
sponsorship,1,0,1.0
tidbits,1,0,1.0
wed,0,1,0.0
osxcon,0,1,0.0
jordan,0,1,0.0
hubbard,0,1,0.0
rats,0,1,0.0
intestines,0,1,0.0
pigs,0,1,0.0
forex,1,0,1.0
shader,0,1,0.0
integration,0,1,0.0
shading,0,1,0.0
technologies,0,1,0.0
nintendo,0,1,0.0
requested,2,0,1.0
kcc,1,0,1.0
wav,0,2,0.0
ans,0,1,0.0
discounted,1,0,1.0
motgages,1,0,1.0
babes,1,0,1.0
4139yaek39,1,0,1.0
traditional,1,0,1.0
ginger,1,0,1.0
sent,1,0,1.0
fbi,2,0,1.0
irs,2,0,1.0
seized,2,0,1.0
99%,2,0,1.0
police,2,0,1.0
auctions,2,0,1.0
offring,1,0,1.0
aymou,1,0,1.0
shatter,0,1,0.0
attacks,0,1,0.0
break,0,1,0.0
understanding,0,1,0.0
negative,0,1,0.0
found,1,0,1.0
romanian,1,0,1.0
export,1,0,1.0
closers,1,0,1.0
ricochet,0,1,0.0
voice,1,0,1.0
recorders,1,0,1.0
cdr,1,0,1.0
having,1,0,1.0
orgasm,1,0,1.0
bring,1,0,1.0
oceans,1,0,1.0
classrooms,1,0,1.0
bsjmcoik,1,0,1.0
sometimes,1,0,1.0
big5qb4ma7e4bef7b7,1,0,1.0
histograms,0,1,0.0
removing,0,1,0.0
lilo,0,1,0.0
spamassassinrazor2,0,1,0.0
rgcsopmx,1,0,1.0
dgcchat,0,1,0.0
public,0,1,0.0
neudist,0,1,0.0
distributed,0,1,0.0
greatlooking,1,0,1.0
thanks,1,0,1.0
bare,1,0,1.0
clear,1,0,1.0
yyyygrow,1,0,1.0
bizz,1,0,1.0
opp,1,0,1.0
cut,1,0,1.0
payments,1,0,1.0
smtp,0,1,0.0
auth,0,1,0.0
mutt,0,1,0.0
absurdities,0,1,0.0
cups,0,1,0.0
downloader,1,0,1.0
ptjti,1,0,1.0
liseli,1,0,1.0
kayit,1,0,1.0
gateway,1,0,1.0
business24,1,0,1.0
hr,1,0,1.0
grant,1,0,1.0
charge,1,0,1.0
desktop,1,0,1.0
automotive,0,1,0.0
easter,0,1,0.0
egg,0,1,0.0
discovered,0,1,0.0
agent,1,0,1.0
bathtub,1,0,1.0
saling,1,0,1.0
32%,0,1,0.0
listssourceforgenet,0,1,0.0
mailing,0,1,0.0
memberships,0,1,0.0
reminder,0,1,0.0
buys,0,1,0.0
xdegrees,0,1,0.0
sizzling,1,0,1.0
materials,1,0,1.0
failed,0,1,0.0
banned,0,1,0.0
potentially,0,1,0.0
offensive,0,1,0.0
material,0,1,0.0
focus,1,0,1.0
0922lkvt8113rfxd3342c21,1,0,1.0
taxes,1,0,1.0
forever,1,0,1.0
ybf,1,0,1.0
science,1,0,1.0
resultsipzc,1,0,1.0
green,2,0,1.0
become,2,0,1.0
citizen,2,0,1.0
aaqnf,1,0,1.0
good,1,0,1.0
t4hvhyesgjop4dzqbvillg,1,0,1.0
solar,0,1,0.0
revealed,0,1,0.0
label,1,0,1.0
reseller,1,0,1.0
strictly,1,0,1.0
~,3,0,1.0
visa,1,0,1.0
mastercard,1,0,1.0
express,1,0,1.0
etc,1,0,1.0
ll4k4,1,0,1.0
iiu,0,1,0.0
admin,0,1,0.0
requests,0,1,0.0
latest,1,0,1.0
mirroring,0,1,0.0
running,0,1,0.0
keeping,0,1,0.0
sims,0,1,0.0
managing,0,1,0.0
large,0,1,0.0
scale,0,1,0.0
content,0,1,0.0
nessus,0,1,0.0
35%,1,0,1.0
ditching,0,1,0.0
wordinfo,0,1,0.0
brad,1,0,1.0
pitt,1,0,1.0
naked,1,0,1.0
wife,1,0,1.0
existing,1,0,1.0
tsoob,1,0,1.0
pmgeiser@datacommch,1,0,1.0
0753hheu343412,1,0,1.0
8172lhaj7492ogro16,1,0,1.0
assisst,1,0,1.0
callsbest,1,0,1.0
quality18,1,0,1.0
84%,1,0,1.0
ce,1,0,1.0
credits,1,0,1.0
uaeamilinux,0,1,0.0
details,0,1,0.0
